No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1,"(1S,4R,6R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-6-ol",5.03,6627-72-1,O[C@@H]1[C@](C2(C)C)(C)CC[C@@H]2C1,,25.0,https://doi.org/10.1016/j.jhazmat.2025.137899,halogeneted,Halogenated organics
2,(Dimethylaminomethyl)ferrocene,9.48,1271-86-9,CN(C)CC1=CC=C[CH-]1.[CH-]1C=CC=C1.[Fe+2],10.8,,NIST,cyclo,Aromatic & PAHs
3,"1,1-Dimethyl-3-phenylurea",6.08,101-42-8,CN(C)C(=O)NC1=CC=CC=C1,,,https://doi.org/10.1016/j.watres.2007.06.066,cyclo,Aromatic & PAHs
4,"1,1-Dimethyl-3-phenylurea",6.85,101-42-8,CN(C)C(=O)NC1=CC=CC=C1,,,https://doi.org/10.1016/j.watres.2007.06.066,cyclo,Aromatic & PAHs
5,"1,1-Methoxy-5,5-bi-phen",8.76,107777-49-1,COC1=CC=CC(O)=C1C2=C(C=CC=C2OC)O,12,,https://doi.org/10.1016/j.chemosphere.2023.140660,alcohol,Oxygenated organics
6,"1,3,5,6-tetramethylpyrimidine-2,4-dione",5.06,59264-09-4,CC1=C(N(C(=O)N(C1=O)C)C)C,,,https://doi.org/10.1016/j.jhazmat.2025.138151,alkane,Aliphatic hydrocarbons
7,"1,4-Diazabicyclo[2.2.2]octane",7.23,280-57-9,C1CN2CCN1CC2,11.5,,NIST,halogeneted,Halogenated organics
8,"1,4-diazabicyclo[2,2,2]octane",7.23,280-57-9,C1CN2CCN1CC2,11.5,,https://doi.org/10.1016/S0040-4020(01)91404-8,halogeneted,Halogenated organics
9,"1,4-Dihydroxybenzene anion",9.32,123-31-9,OC1=CC=C(O)C=C1,,,https://doi.org/10.1039/C6EM00580B,alcohol,Oxygenated organics
10,"1,4-Dioxane",6.0,123-91-1,C1COCCO1,,,https://doi.org/10.1021/acs.est.4c04547,alcohol,Oxygenated organics
11,"1,5-dimethylpyrimidine-2,4-dione",5.06,4160-72-9,CC1=CN(C(=O)NC1=O)C,,,https://doi.org/10.1016/j.jhazmat.2025.138158,cyclo,Aromatic & PAHs
12,"1,7,7-trimethylbicyclo[2.2.1]heptan-6-ol",5.03,507-70-0,O[C@H]1[C@](C2(C)C)(C)CC[C@]2([H])C1,,,https://doi.org/10.1016/j.jhazmat.2025.138074,halogeneted,Halogenated organics
13,"1,7,8-trimethylbenzo[g]pteridine-2,4-dione",7.1,18950-64-6,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3C,,,https://doi.org/10.1016/j.jhazmat.2025.138159,alkane,Aliphatic hydrocarbons
14,1-Butylamine,5.6,109-73-9,CCCCN,11.5,,NIST,alkane,Aliphatic hydrocarbons
15,1-Methylindole,8.93,603-76-9,CN1C=CC2=CC=CC=C21,9.3,,https://doi.org/10.1021/j100300a039,cyclo,Aromatic & PAHs
