No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1,hypochlorous acid,3000000000.0,9.477121255,7790-92-3,OCl,,25.0,DOI: 10.1021/acs.est.7b00507,alcohol,Oxygenated organics
2,hypochlorous acid,8200000000.0,9.913813852,7790-92-3,OCl,,25.0,DOI: 10.1021/acs.est.7b00508,alcohol,Oxygenated organics
3,CHLORIDE STANDARD,2100000000.0,9.322219295,16887-00-6,[Cl-],,25.0,DOI: 10.1021/acs.est.7b00509,halogeneted,Halogenated organics
4,Water,250000.0,5.397940009,7732-18-5,O,,25.0,DOI: 10.1021/acs.est.7b00510,alcohol,Oxygenated organics
5,Hydroxide ion,18000000000.0,10.25527251,3352-57-6,[OH],,25.0,DOI: 10.1021/acs.est.7b00511,alcohol,Oxygenated organics
6,Dichloromethane,,7.13,1975/9/2,ClCCl,,,https://doi.org/10.1021/jp051072l,halogeneted,Halogenated organics
7,Pentane,,9.97,109-66-0,CCCCC,,,https://doi.org/10.1021/jp051073l,alkane,Aliphatic hydrocarbons
8,Hexane,,10.02,110-54-3,CCCCCC,,,https://doi.org/10.1021/jp051074l,alkane,Aliphatic hydrocarbons
9,Heptane,,10.03,142-82-5,CCCCCCC,,,https://doi.org/10.1021/jp051075l,alkane,Aliphatic hydrocarbons
10,Cyclopentane,,10.0,287-92-3,C1CCCC1,,,https://doi.org/10.1021/jp051076l,cyclo,Aromatic & PAHs
11,Cyclohexane,,10.06,110-82-7,C1CCCCC1,,,https://doi.org/10.1021/jp051077l,benzene,Aromatic & PAHs
12,Cycloheptane,,10.07,291-64-5,C1CCCCCC1,,,https://doi.org/10.1021/jp051078l,cyclo,Aromatic & PAHs
13,Methanol,,9.72,67-56-1,CO,,,https://doi.org/10.1021/jp051079l,halogeneted,Halogenated organics
14,Ethanol,,9.85,64-17-5,CCO,,,https://doi.org/10.1021/jp051080l,alkane,Aliphatic hydrocarbons
15,benzoic acid,18000000000.0,10.25527251,65-85-0,O=C(O)c1ccccc1,,,https://doi.org/10.1021/es4036094,benzene,Aromatic & PAHs
16,Hypochlorous acid,3000000000.0,9.477121255,7790-92-3,OCl,6,,https://doi.org/10.1021/es4036094,alcohol,Oxygenated organics
17,hypochlorite,8200000000.0,9.913813852,14380-61-1,[O-]Cl,9,,https://doi.org/10.1021/es4036094,halogeneted,Halogenated organics
18,Bicarbonate ion,220000000.0,8.342422681,71-52-3,O=C([O-])O,,,https://doi.org/10.1021/es4036095,halogeneted,Halogenated organics
