No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1,Phenol,,8.34,108-95-2,Oc1ccccc1,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
2,4-Hydroxybenzaldehyde,,7.88,123-08-0,O=Cc1ccc(O)cc1,7.0,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs
3,4-Hydroxybenzoic acid,,8.45,99-96-7,O=C(O)c1ccc(O)cc1,7.0,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs
4,Salicylic acid（2-Hydroxybenzoic acid）,,8.32,69-72-7,O=C(O)c1ccccc1O,7.0,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs
5,3-Hydroxybenzoic acid,,8.39,1999/6/9,O=C(O)c1cccc(O)c1,7.0,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs
6,4-Methoxyphenol,,9.04,150-76-5,COc1ccc(O)cc1,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
7,Anisole,,8.21,100-66-3,COc1ccccc1,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
8,1-(4-Methoxyphenyl)ethanone,,7.63,100-06-1,COc1ccc(C(C)=O)cc1,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
9,p-Toluic acid,,6.72,99-94-5,Cc1ccc(C(=O)O)cc1,7.0,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs
10,Styrene,,7.32,100-42-5,C=CC1=CC=CC=C1,7.0,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs
11,Aniline,,8.83,62-53-3,Nc1ccccc1,7.0,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs
12,Imidazole,,8.26,288-32-4,c1c[nH]cn1,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
13,Sorbic acid,,8.83,110-44-1,CC=CC=CC(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
14,Maleic acid,,6.25,110-16-7,O=C(O)C=CC(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
15,Cyclohexene,,7.49,110-83-8,C1=CCCCC1,7.0,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs
16,benzoic acid,2000000.0,6.301029996,65-85-0,O=C(O)c1ccccc1,,,https://doi.org/10.1021/es4036094,benzene,Aromatic & PAHs
17,Hydroxide ion,4500000.0,6.653212514,14280-30-9,[OH-],,,https://doi.org/10.1021/es4036094,alcohol,Oxygenated organics
18,benzene,4500000.0,6.653212514,71-43-2,c1ccccc1,1.5,25.0,https://doi.org/10.1155/2024/6974417,benzene,Aromatic & PAHs
19,N-Nitrosodimethylamine,135000000.0,8.130333768,62-75-9,CN(C)N=O,7.0,25.0,https://doi.org/10.1016/j.jece.2022.108705,halogeneted,Halogenated organics
20,N-Methyl-N-nitrosoethanamine,46000000.0,7.662757832,10595-95-6,CCN(C)N=O,7.0,25.0,https://doi.org/10.1016/j.jece.2022.108705,alkane,Aliphatic hydrocarbons
21,N-Nitrosodiethylamine,129000000.0,8.11058971,55-18-5,CCN(CC)N=O,7.0,25.0,https://doi.org/10.1016/j.jece.2022.108705,alkane,Aliphatic hydrocarbons
22,"1-Propanamine,N-nitroso-N-propyl",259000000.0,8.413299764,621-64-7,CCCN(CCC)N=O,7.0,25.0,https://doi.org/10.1016/j.jece.2022.108705,alkane,Aliphatic hydrocarbons
23,N-nitrosodibutylamine,219000000.0,8.340444115,924-16-3,O=NN(CCCC)CCCC,7.0,25.0,https://doi.org/10.1016/j.jece.2022.108705,halogeneted,Halogenated organics
24,1-nitrosopyrrolidine,90000000.0,7.954242509,930-55-2,O=NN1CCCC1,7.0,25.0,https://doi.org/10.1016/j.jece.2022.108705,halogeneted,Halogenated organics
25,1-nitrosopiperidine,347000000.0,8.540329475,100-75-4,O=NN1CCCCC1,7.0,25.0,https://doi.org/10.1016/j.jece.2022.108705,pyridine,Heterocycles
26,"Morpholine,4-nitroso-",1060000000.0,9.025305865,59-89-2,O=NN1CCOCC1,7.0,25.0,https://doi.org/10.1016/j.jece.2022.108705,alcohol,Oxygenated organics
27,Ofloxacin,348000000.0,8.541579244,82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,6.5,25.0,https://doi.org/10.1016/j.jece.2024.113740,alcohol,Oxygenated organics
28,Amoxicillin,420000000.0,8.62324929,26787-78-0,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,6.5,25.0,https://doi.org/10.1016/j.jece.2024.113743,"sulfide, disulfide",Sulfur-containing organics
29,Paracetamol,432000000.0,8.635483747,103-90-2,CC(=O)Nc1ccc(O)cc1,6.5,25.0,https://doi.org/10.1016/j.jece.2024.113744,benzene,Aromatic & PAHs
30,Ciprofloxacin,219000000.0,8.340444115,85721-33-1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,6.5,25.0,https://doi.org/10.1016/j.jece.2024.113746,benzene,Aromatic & PAHs
31,Caffeine,928000000.0,8.967547976,1958/8/2,CN1C=NC2=C1C(N(C)C(N2C)=O)=O,6.5,25.0,https://doi.org/10.1016/j.jece.2024.113747,halogeneted,Halogenated organics
32,Nitrite,250000000.0,8.397940009,24407-06-5,[O-]N=O,7.0,25.0,https://doi.org/10.1016/j.scitotenv.2020.143325,amine,Nitrogen-containing organics
33,tert-Butanol,700.0,2.84509804,75-65-0,CC(C)(C)O,7.0,25.0,https://doi.org/10.1016/j.scitotenv.2020.143325,alkane,Aliphatic hydrocarbons
34,Bicarbonate ion,8000000.0,6.903089987,71-52-3,O=C([O-])O,3.5,25.0,https://doi.org/10.1021/acsestwater.2c00598,halogeneted,Halogenated organics
35,sulfapyridine,3820000.0,6.582063363,144-83-2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,,25.0,https://doi.org/10.1021/acs.iecr.9b06228,cyclo,Aromatic & PAHs
36,4-Aminobenzoate ion,,9.0414,2906-33-4,C1=CC(=CC=C1C(=O)[O-])N,,,https://doi.org/10.1016/j.chemosphere.2023.138793,halogeneted,Halogenated organics
37,Benzoate ion,,6.301,2155852-03-0,CC1(C2=C(C([O-])=O)C=CC=C2)CCO1.[Li+],,,https://doi.org/10.1016/j.chemosphere.2023.138794,alkane,Aliphatic hydrocarbons
38,4-Bromobenzoate ion,,6.8451,16887-61-9,Brc1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138795,halogeneted,Halogenated organics
39,4-Chlorbenzoate ion,,6.4771,14609-76-8,Clc1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138796,halogeneted,Halogenated organics
