No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1,Tetracycline,,5.57,60-54-8,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,7.0,22.0,https://doi.org/10.1016/j.watres.2010.11.039,cyclo,Aromatic & PAHs
2,Oxytetracycline,,6.25,79-57-2,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12,7.0,22.0,https://doi.org/10.1016/j.watres.2010.11.039,cyclo,Aromatic & PAHs
3,Chlorotetracycline,,4.91,57-62-5,CN(C)C1C(=O)C(C(=O)N)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cc(Cl)cc4C(C)(O)C3CC12,7.0,22.0,https://doi.org/10.1016/j.watres.2010.11.039,cyclo,Aromatic & PAHs
4,Iso-chlorotetracycline,,4.05,914-01-4,CN(C)C1C(=O)C(C(=O)N)=C(O)C2(O)C(=O)C3=C(Cl)c4c(O)cccc4C(C)(O)C3CC12,7.0,22.0,https://doi.org/10.1016/j.watres.2010.11.039,cyclo,Aromatic & PAHs
5,Pyrrole,,3.26,109-97-7,c1cc[nH]c1,7.0,,https://doi.org/10.1021/acs.est.5c01012,cyclo,Aromatic & PAHs
6,Imidazole,,3.71,288-32-4,c1c[nH]cn1,9.0,,https://doi.org/10.1021/acs.est.5c01012,halogeneted,Halogenated organics
7,Dexmedetomidine,,0.87,113775-47-6,Cc1cccc(C(C)c2cnc[nH]2)c1C,9.0,,https://doi.org/10.1021/acs.est.5c01012,cyclo,Aromatic & PAHs
8,Guanine,,4.32,73-40-5,C1=NC2=C(N1)C(=O)NC(=N2)N,7.0,,https://doi.org/10.1021/acs.est.5c01012,halogeneted,Halogenated organics
9,Metoprolol,,4.65,51384-51-1,CC(C)(O)C(C1=CC=C(O)C=C1)NCC(O)CO,7.0,,https://doi.org/10.1021/acs.est.8b01099,alkane,Aliphatic hydrocarbons
10,Atenolol,,4.04,29122-68-7,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,7.0,,https://doi.org/10.1016/j.watres.2009.11.045,alcohol,Oxygenated organics
11,Ciprofloxacin,,5.88,85721-33-1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,7.0,,https://doi.org/10.1021/es050054e,benzene,Aromatic & PAHs
12,Dimethenamid- Cl?,,6.08,87674-68-8,COCC(C)N(C(=O)CCl)c1c(C)csc1C,,25.0,https://doi.org/10.1021/es9038903,"sulfide, disulfide",Sulfur-containing organics
13,Dimethenamid- HOCl,,-0.74,87674-68-8,COCC(C)N(C(=O)CCl)c1c(C)csc1C,,25.0,https://doi.org/10.1021/es9038903,"sulfide, disulfide",Sulfur-containing organics
14,?CBBP*,1.69,9.227886705,13080-78-9,O=C(C1=CC=C(O)C=C1)C2=CC=CC=C2,7.0,25.0,https://doi.org/10.1021/acs.est.3c02458,cyclo,Aromatic & PAHs
15,?CBBP*,1.69,9.227886705,13080-78-9,O=C(C1=CC=C(O)C=C1)C2=CC=CC=C2,5.0,25.0,https://doi.org/10.1021/acs.est.3c02458,cyclo,Aromatic & PAHs
