No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1,((perfluorooctyl)sulfonyl)glycinate,8.72427587,909405-47-6,O=C([O-])CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,https://doi.org/10.1021/acs.est.1c04772,"sulfide, disulfide",Sulfur-containing organics
2,((perfluorooctyl)sulfonyl)glycinate,8.72,909405-47-6,O=C([O-])CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.0,25.0,Zhong et al.,"sulfide, disulfide",Sulfur-containing organics
3,(1-methylethyl)-4-benzenesulfonic acid,9.9,2429952-20-3,CC(C)c1ccccc1S(=O)(=O)[O-].[Na+],7.0,25.0,NIST,"sulfide, disulfide",Sulfur-containing organics
4,"(2,2-dimethyl-3H-1-benzofuran-7-yl) N-methylcarbamate",9.505149978,73315-64-7,CNC(=O)Oc1cccc2CC(C)(C)Oc12,,,https://doi.org/10.1021/acs.est.1c04839,diol,Polyfunctional / highly functionalized
5,"(2E)-nona-2,6-dienal",10.0211893,30551-17-8,CC/C=C/CC\C=C\C=O,,,https://doi.org/10.1021/acs.est.1c05082,alkane,Aliphatic hydrocarbons
6,"(2R,3R)-1,4-bis-sulfanylbutane-2,3-diol",10.17609126,136597-79-0,O[C@@H](CS)[C@@H](O)CS,,,https://doi.org/10.1021/acs.est.1c05550,"sulfide, disulfide",Sulfur-containing organics
7,"(2R,3S)-butane-2,3-diol",9.113943352,1320337-56-1,C[C@@H](O)[C@H](C)O,,,https://doi.org/10.1021/acs.est.1c05287,halogeneted,Halogenated organics
8,"(2R,3S,4R,5R,8R,10R,11R,13S,14R)-11-[(2S,3R,4S,6R)-4-dimethylamino-3-hydroxy-6-methyloxan-2-yl]oxy-2-ethyl-3,4,10-trihydroxy-13-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,6,8,10,12,14-heptamethyl-1-oxa-6-azacyclopentadecan-15-one",9.459392488,620169-47-3,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,,,https://doi.org/10.1021/acs.est.1c04974,diol,Polyfunctional / highly functionalized
9,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-(phenylmethoxy)oxane-3,4,5-triol",10.62,1044856-96-3,OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,7.0,25.0,NIST,diol,Polyfunctional / highly functionalized
10,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(3-nitrophenoxy)oxane-3,4,5-triol",9.6,29857-05-4,O=[N+]([O-])c1cccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,7.0,25.0,NIST,cyclo,Aromatic & PAHs
11,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(4-nitrophenoxy)oxane-3,4,5-triol",9.58,29857-05-4,O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,7.0,25.0,NIST,cyclo,Aromatic & PAHs
12,(2S)-2-(3-aminopropanoylamino)-3-(3H-imidazol-4-yl)propanoic acid,9.954242509,7683-28-5,NCCC(=O)N[C@@H](Cc1[nH]cnc1)C(O)=O,,,https://doi.org/10.1021/acs.est.1c05088,halogeneted,Halogenated organics
13,"(2S)-4-amino-N-[(1R,2S,3S,4R,5S)-5-amino-2-[(2S,3R,4S,5S,6R)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3R,4S,5S,6R)-6-(aminomethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-3-hydroxycyclohexyl]-2-hydroxybutanamide",9.859738566,129865-03-8,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,,,https://doi.org/10.1021/acs.est.1c05672,diol,Polyfunctional / highly functionalized
14,"(2S,3S)-2,3-dihydroxybutanedioic acid",8.84509804,172152-22-6,O[C@@H]([C@H](O)C(O)=O)C(O)=O,,,https://doi.org/10.1021/acs.est.1c04536,diol,Polyfunctional / highly functionalized
15,"(2S,3S,4S)-3-(carboxymethyl)-4-prop-1-en-2-ylpyrrolidine-2-carboxylic acid",9.390935107,75232-58-5,CC(=C)[C@H]1CN[C@@H]([C@H]1CC(O)=O)C(O)=O,,,https://doi.org/10.1021/acs.est.1c05113,alkane,Aliphatic hydrocarbons
16,"(2S,3S,4S,5R)-2,3,4,5-tetrahydroxy-6-oxohexanoic acid",9.113943352,70984-16-6,O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,,,https://doi.org/10.1021/acs.est.1c05353,halogeneted,Halogenated organics
17,"(2S,4R)-N-[(1R,2R)-2-hydroxy-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide hydrate hydrochloride",9.92992956,93940-75-1,O.[Cl-].CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O.[H+],,,https://doi.org/10.1021/acs.est.1c05363,diol,Polyfunctional / highly functionalized
18,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",9.899820502,20087-62-1,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O,,,https://doi.org/10.1021/acs.est.1c05526,"sulfide, disulfide",Sulfur-containing organics
19,"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid trihydrate",9.840106094,525-91-7,O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,,,https://doi.org/10.1021/acs.est.1c04897,diol,Polyfunctional / highly functionalized
20,"(2S,5R,6R)-6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",9.380211242,20087-62-1,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O,,,https://doi.org/10.1021/acs.est.1c04907,"sulfide, disulfide",Sulfur-containing organics
21,"(2Z,4S,4aR,5S,5aR,6R,12aS)-2-(amino-hydroxymethylidene)-4-dimethylamino-5,10,11,12a-tetrahydroxy-6-methyl-4a,5,5a,6-tetrahydro-4H-tetracene-1,3,12-trione dihydrate hydrochloride",9.880241776,83038-87-3,O.O.[Cl-].C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(=C(N)/O)/C(=O)[C@@]3(O)C(=O)C2=C(O)c4c(O)cccc14.[H+],,,https://doi.org/10.1021/acs.est.1c04884,diol,Polyfunctional / highly functionalized
22,"(2Z,4S,4aS,5aS,6S,12aS)-2-(amino-hydroxymethylidene)-4-dimethylamino-6,10,11,12a-tetrahydroxy-6-methyl-4,4a,5,5a-tetrahydrotetracene-1,3,12-trione",9.910090546,4572-56-9,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,,,https://doi.org/10.1021/acs.est.1c05401,diol,Polyfunctional / highly functionalized
