No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1,(C2H5)2NH,5.792391689,109-89-7,CCNCC,,,NIST,alkane,Aliphatic hydrocarbons
2,(C2H5)2O,0.041392685,60-29-7,CCOCC,2,,NIST,alcohol,Oxygenated organics
3,(C2H5)3N,6.322219295,121-44-8,CCN(CC)CC,,,NIST,alkane,Aliphatic hydrocarbons
4,(CH3)2NCl,3.278753601,1585-74-6,CN(C)Cl,1.6,,NIST,halogeneted,Halogenated organics
5,(CH3)2NH2+,-0.886056648,17000-01-0,​C[NH2+]C,5~6,,NIST,halogeneted,Halogenated organics
6,(CH3)2NNO,1.041392685, 62-75-9,CN(C)N=O,5,,NIST,halogeneted,Halogenated organics
7,(CH3)3CCO2-,-2.698970004,29650-96-2,CC(C)(C)C(=O)[O-],5.1 - 5.8,,NIST,alkane,Aliphatic hydrocarbons
8,(CH3)3CNH2,4.653212514,75-64-9,CC(C)(N)C,,,NIST,alkane,Aliphatic hydrocarbons
9,(CH3)3N,6.612783857,75-50-3,CN(C)C,,,NIST,halogeneted,Halogenated organics
10,(CH3CH2CH2)2S,5.301029996,638-46-0,CCCCSCC,2,,NIST,"sulfide, disulfide",Sulfur-containing organics
11,(E)-3-hexen-1-ol,4.571429303, ​928-97-2,CC/C=C/CCO,,,10.1039/c6ra17107a,alkane,Aliphatic hydrocarbons
12,(E)-3-hexene,4.975638566,13269-52-8,CC/C=C/CC,,,https://doi.org/10.5194/essd-12-1203-2020,alkane,Aliphatic hydrocarbons
13,(Z)-2-hexene,4.970072449,7688-21-3,CCC/C=C\C,,,10.1002/kin.10093,alkane,Aliphatic hydrocarbons
14,(Z)-2-pentene,4.88694734,627-20-3,CC/C=C\C,,,10.1002/kin.10093,alkane,Aliphatic hydrocarbons
15,(Z)-3-hexen-1-ol,4.554986769,928-96-1,CC/C=C\CCO,,,https://doi.org/10.1016/j.atmosenv.2016.09.057,alkane,Aliphatic hydrocarbons
16,(Z)-3-methyl-2-penten,5.453682139,922-62-3,C/C(CC)=C/C,,,10.1007/BF00048331,halogeneted,Halogenated organics
17,-O2C(CH2)3CO2-,-2.096910013,56-16-6,[O-]C(=O)CCCC(=O)[O-],4~6,,NIST,halogeneted,Halogenated organics
18,-O2CCO2-,-1.397940009,338-70-5,O=C([O-])C(=O)[O-],,,NIST,halogeneted,Halogenated organics
19,"1,1-Dichloroacetone",-2.3,513-88-2,CC(=O)C(Cl)Cl,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons
20,"1,1-dichloroethene",2.041392685,75-35-4,C=C(Cl)Cl,2,,10.1016/0043-1354(83)90098-2,halogeneted,Halogenated organics
21,"1,1-dichloropropene",3.27073931,563-58-6,CC=C(Cl)Cl,,,doi.org/10.1016/j.watres.2012.06.006,alkane,Aliphatic hydrocarbons
22,"1,1-dichloropropene",3.375185,26952-23-8,CC=C(Cl)Cl,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons
23,"1,10-Phenanthroline monohydrate",-0.9395,5144-89-8,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,,,10.1016/j.chemosphere.2014.05.068,cyclo,Aromatic & PAHs
24,"1,10-Phenanthroline monohydrate",-0.9395,5144-89-8,O.c1cnc2c(c1)ccc1cccnc12,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
25,"1,12-Benzoperylene",3.92,91315-85-4,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
26,"1,2,3-C6H3(CH3)3",2.602059991,526-73-8,CC1=CC=CC(C)=C1C,1.7,,NIST,cyclo,Aromatic & PAHs
27,"1,2,3-C6H3Cl3",-1.22184875,87-61-6,ClC1=CC=CC(Cl)=C1Cl,3,,NIST,cyclo,Aromatic & PAHs
28,"1,2,3-Trichloropropane",-0.06,96-18-4,Clc1cccc(Cl)c1Cl,,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs
29,"1,2,3-trimethylbenzene",2.60206,57820-96-9,Cc1cccc(C)c1C,1.7,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs
30,"1,2,3-trimethylbenzene",2.602059991,526-73-8,CC1=C(C(=CC=C1)C)C,1.7,,10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons
31,"1,2,3-trimethylbenzene",2.602059991,526-73-8,CC1=C(C(=CC=C1)C)C,,,10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons
32,"1,2,4-C6H3Cl3",0.204119983, 120-82-1,ClC1=CC=C(Cl)C=C1Cl,2,,NIST,cyclo,Aromatic & PAHs
33,"1,2-C6H4(OH)2",5.491361694,120-80-9,OC1=CC=CC=C1O,2.8,,NIST,alcohol,Oxygenated organics
34,"1,2-Dibromo-3-chloropropane",-1.602059991, 96-12-8,C(C(CBr)Br)Cl,2,,NIST,halogeneted,Halogenated organics
35,"1,2-dibromoethene",3.176091259,590-12-5,C(=CBr)Br,,,doi.org/10.1016/j.watres.2012.06.006,halogeneted,Halogenated organics
36,"1,2-dibromoethene",3.176091,52646-68-1,Br/C=C/Br,,,https://doi.org/10.1016/j.jece.2024.112473,halogeneted,Halogenated organics
37,"1,3,5-C6H3(CH3)3",2.84509804,108-67-8,CC1=CC(C)=CC(C)=C1,1.7,,NIST,cyclo,Aromatic & PAHs
