No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Pubchem_cid,Chemical_class_27,Chemical_class_coarse
1,4-Nitrophenol ,6.4,100-02-7 ,O=[N+] ([O-]) c1ccc(O)cc1 ,8.8,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
2,4-Nitrophenol ,6.48,100-02-7 ,O=[N+] ([O-]) c1ccc(O)cc1 ,10,,https://doi.org/10.1080/02772249009357622,,benzene,Aromatic & PAHs
3,Microcystin YR ,8.01,101064-48-6 ,[H]/N=C (\N) NCCC····(C(=O) O) N[C@H]1Cc1ccc(O)cc1 ,11.6,,https://doi.org/10.1021/acs.est.1c04194,,benzene,Aromatic & PAHs
4,Methionine methyl ,6.85,10332-17-9 ,COC(=O) [C@@H] (N)CCSC ,7,,https://doi.org/10.1111/j.1751-1097.1993.tb02317.x,,"sulfide, disulfide",Sulfur-containing organics
5,Imazapic ,5.79,104098-48-8 ,Cc1cnc(C2=N[C@@] (C)(C(C)C) C(=O) N2) c(C(=O) O) c1 ,7,,https://doi.org/10.1016/j.scitotenv.2022.160473,,cyclo,Aromatic & PAHs
6,mesotrione ,5.84,104206-82-8 ,CS(=O) (=O) c1ccc(C(=O) C2C(=O) CCCC2=O) c([N+] (=O) [O-]) c1 ,8.51,,https://doi.org/10.1021/es3030808,,"sulfide, disulfide",Sulfur-containing organics
7,"2,4-dimethylphenol ",6.36,105-67-9 ,Cc1ccc(O)c(C)c1 ,3,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
8,carbendazim ,6.3,10605-21-7 ,COC(=O) Nc1nc2ccccc2[nH]1 ,6,,https://doi.org/10.1016/j.chemosphere.2006.02.057,,alcohol,Oxygenated organics
9,4-bromophenol ,8.18,106-41-2 ,Oc1ccc (Br)cc1 ,11,,https://doi.org/10.1139/v93-160,,alcohol,Oxygenated organics
10,p-Cresol ,7.04,106-44-5 ,Cc1ccc(O)cc1 ,8.3,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
11,p-Cresol ,7.38,106-44-5 ,Cc1ccc(O)cc1 ,8.8,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
12,p-Cresol ,8.2,106-44-5 ,Cc1ccc(O)cc1 ,10,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
13,p-Cresol ,8.54,106-44-5 ,Cc1ccc(O)cc1 ,11.5,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
14,p-Cresol ,8.55,106-44-5 ,Cc1ccc(O)cc1 ,12,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
15,4-chlorophenol ,8.0,106-48-9 ,Oc1ccc (Cl)cc1 ,11,,https://doi.org/10.1139/v93-160,,alcohol,Oxygenated organics
16,"2,5-dihydroxy biphenyl ",7.38,1079-21-6 ,Oc1ccc(O)c(-c2ccccc2) c1 ,8,,https://doi.org/10.1016/0045-6535(93)90113-J,,alcohol,Oxygenated organics
17,3-methylphenol ,7.26,108-39-4 ,Cc1cccc(O)c1 ,3,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
18,3-methylphenol ,8.31,108-39-4 ,Cc1cccc(O)c1 ,12,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
19,3-chlorophenol ,6.52,108-43-0 ,Oc1cccc (Cl)c1 ,3,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
20,3-chlorophenol ,7.18,108-43-0 ,Oc1cccc (Cl)c1 ,11.5,,https://doi.org/10.1080/02772249009357622,,alcohol,Oxygenated organics
21,3-chlorophenol ,8.17,108-43-0 ,Oc1cccc (Cl)c1 ,12,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
22,Phenol ,6.4,108-95-2 ,Oc1ccccc1 ,8,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
23,Phenol ,7.28,108-95-2 ,Oc1ccccc1 ,9,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
24,Phenol ,7.66,108-95-2 ,Oc1ccccc1 ,9.5,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
25,Phenol ,7.95,108-95-2 ,Oc1ccccc1 ,10,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
26,Phenol ,8.26,108-95-2 ,Oc1ccccc1 ,11.5,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
27,3-Hydroxypyridine ,7.41,109-00-2 ,Oc1cccnc1 ,7,,https://doi.org/10.1016/S1010-6030(99)00115-X,,alcohol,Oxygenated organics
28,3-Hydroxypyridine ,8.41,109-00-2 ,Oc1cccnc1 ,11,,https://doi.org/10.1016/S1010-6030(99)00115-X,,alcohol,Oxygenated organics
29,allylthiourea ,6.6,109-57-9 ,C=CCNC(N)=S ,7.1,,https://doi.org/10.1111/j.1751-1097.1978.tb07557.x,,"sulfide, disulfide",Sulfur-containing organics
30,pyrrole ,8.7,109-97-7 ,c1cc[nH]c1 ,7,,https://doi.org/10.1021/acs.est.9b03948,,cyclo,Aromatic & PAHs
31,2-methyl-3-hydroxypyridine ,7.72,1121-25-1 ,Cc1ncccc1O ,7,,https://doi.org/10.1016/S1010-6030(99)00115-X,,cyclo,Aromatic & PAHs
32,2-methyl-3-hydroxypyridine ,8.45,1121-25-1 ,Cc1ncccc1O ,11,,https://doi.org/10.1016/S1010-6030(99)00115-X,,cyclo,Aromatic & PAHs
33,glycyl-tyrosyl-alanine ,8.0,112898-27-8 ,C[C@H] (NC(=O) [C@H] (Cc1ccc(O)cc1) NC(=O) CN) C(=O) O ,11.5,,https://doi.org/10.1007/bf00805805,,halogeneted,Halogenated organics
34,"7,8-dihydroxanthopterin ",8.88,1131-35-7 ,Nc1nc2c(c(=O) [nH]1) NC(=O) CN2 ,7,,https://doi.org/10.1021/jp071278h,,halogeneted,Halogenated organics
35,2-methyl-3-butene-2-ol ,5.9,115-18-4 ,C=CC(C)(C) O ,5.1,,https://doi.org/10.1021/es503656m,,halogeneted,Halogenated organics
36,Succinylsulfathiazole ,8.06,116-43-8 ,O=C(O)CCC(=O) Nc1ccc(S(=O) (=O) Nc2nccs2) cc ,12,,https://doi.org/10.1016/S0143-7208(00)00010-3,,"sulfide, disulfide",Sulfur-containing organics
37,Succinylsulfathiazole ,5.78,116-43-8 ,O=C(O)CCC(=O) Ncccc1 (S(=O) (=O) Nc2nccs2) cc ,6,,https://doi.org/10.1016/S0143-7208(00)00010-3,,"sulfide, disulfide",Sulfur-containing organics
38,"2,4,6-tribromophenol ",6.43,118-79-6 ,Oc1c(Br)cc (Br)cc1Br ,3,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
39,"2,4,6-tribromophenol ",7.92,118-79-6 ,Oc1c(Br)cc (Br)cc1Br ,12,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
40,pteroic acid ,7.08,119-24-4 ,Nc1nc2ncc (CNc3ccc(C(=O) O) cc) nc2c(=O) [nH]1 ,10.5,,https://doi.org/10.1562/2006-09-15-ra-1041,,cyclo,Aromatic & PAHs
41,2-nitro-4-methylphenolate ,7.45,119-33-5 ,Cc1ccc(O)c([N+] (=O) [O-]) c1 ,10,,https://doi.org/10.1080/02772249009357622,,cyclo,Aromatic & PAHs
42,Indole ,7.64,120-72-9 ,c1ccc2[nH]ccc2c1 ,7.5,,https://doi.org/10.1039/C5EM00045A,,cyclo,Aromatic & PAHs
