No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1,(+)-6-Aminopenicillanic acid,9.542825427,36091-15-3,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N)C(=O)O)C,"2.3, 4.9 ",,10.1016/j.chemosphere.2010.07.015,alkane,Aliphatic hydrocarbons
2,(+)-6-aminopenicillanic acid,9.382017043,10003-91-5,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,7.4,,https://doi.org/10.1016/j.chemosphere.2010.07.015,"sulfide, disulfide",Sulfur-containing organics
3,(+)-6-aminopenicillanic acid),9.431970111,27565-66-8,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,7.4,21.0,doi.org/10.1016/j.watres.2012.06.006,"sulfide, disulfide",Sulfur-containing organics
4,"(2,2-Diethoxyethyl)-Benzene",8.84509804,6314-97-2,CCOC(CC1=CC=CC=C1)OCC,9.2,,NIST,diol,Polyfunctional / highly functionalized
5,"(2,2-Diethoxyethyl)-Benzene",9.176091259,6314-97-2,CCOC(CC1=CC=CC=C1)OCC,9.2,,NIST,diol,Polyfunctional / highly functionalized
6,"(2,3,4-trihydroxy-5-oxopentyl) dihydrogen phosphate",7.397940009,89927-09-3,OC(CO[P](O)(O)=O)C(O)C(O)C=O,,,https://doi.org/10.1021/acs.est.1c04326,diol,Polyfunctional / highly functionalized
7,"(2R,3R,4S,5R)-2-(6-dimethylaminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",9.591064607,131265-29-7,CN(C)c1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,,,https://doi.org/10.1021/acs.est.1c04326,halogeneted,Halogenated organics
8,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,9.3617,25525-59-1,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,,,https://doi.org/10.1016/j.jhazmat.2025.138141,halogeneted,Halogenated organics
9,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,9.3617,25525-59-1,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,,,https://doi.org/10.1016/j.jhazmat.2025.138261,halogeneted,Halogenated organics
10,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,9.361727836,220499-20-7,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,,,https://doi.org/10.1021/acs.est.1c04326,halogeneted,Halogenated organics
11,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,9.3617,25525-59-1,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,,,https://doi.org/10.1016/j.jhazmat.2025.137959,halogeneted,Halogenated organics
